,open,high,low,close,volume
2020-01-02,1875.0,1898.01,1864.15,1898.01,4035910
2020-01-03,1864.5,1886.2,1864.5,1874.97,3766604
2020-01-06,1860.0,1903.69,1860.0,1902.88,4065698
2020-01-07,1904.5,1913.89,1892.04,1906.86,4134010
2020-01-08,1898.04,1911.0,1886.44,1891.97,3511966
2020-01-09,1909.89,1917.82,1895.8,1901.05,3174962
2020-01-10,1905.37,1906.94,1880.0,1883.16,2856959
2020-01-13,1891.31,1898.0,1880.8,1891.3,2753903
2020-01-14,1885.88,1887.11,1858.55,1869.44,3446381
2020-01-15,1872.25,1878.86,1855.09,1862.02,2896592
2020-01-16,1882.99,1885.59,1866.02,1877.94,2659493
2020-01-17,1885.89,1886.64,1857.25,1864.72,3997340
2020-01-21,1865.0,1894.27,1860.0,1892.0,3643771
2020-01-22,1896.09,1902.5,1883.34,1887.46,3216257
2020-01-23,1885.11,1889.98,1872.76,1884.58,2484613
2020-01-24,1891.37,1894.99,1847.44,1861.64,3766181
2020-01-27,1820.0,1841.0,1815.34,1828.34,3528509
2020-01-28,1840.5,1858.11,1830.02,1853.25,2808040
2020-01-29,1864.0,1874.75,1855.02,1858.0,2101390
2020-01-30,1858.0,1872.87,1850.61,1870.68,6327438
2020-01-31,2051.47,2055.72,2002.27,2008.72,15567283
2020-02-03,2010.6,2048.5,2000.25,2004.2,5899094
2020-02-04,2029.88,2059.8,2015.37,2049.67,5289338
2020-02-05,2071.02,2071.02,2032.0,2039.87,4376174
2020-02-06,2041.02,2056.3,2024.8,2050.23,3182954
2020-02-07,2041.99,2098.53,2038.1,2079.28,5095347
2020-02-10,2085.01,2135.6,2084.96,2133.91,5056235
2020-02-11,2150.9,2185.95,2136.0,2150.8,5746011
2020-02-12,2163.2,2180.25,2155.29,2160.0,3334264
2020-02-13,2144.99,2170.28,2142.0,2149.87,3031791
2020-02-14,2155.68,2159.04,2125.89,2134.87,2606169
2020-02-18,2125.02,2166.07,2124.11,2155.67,2951070
2020-02-19,2167.8,2185.1,2161.12,2170.22,2561165
2020-02-20,2173.07,2176.79,2127.45,2153.1,3131342
2020-02-21,2142.15,2144.55,2088.0,2095.97,4650740
2020-02-24,2003.18,2039.3,1987.97,2009.29,6546997
2020-02-25,2026.42,2034.6,1958.42,1972.74,6219094
2020-02-26,1970.28,2014.67,1960.45,1979.59,5240402
2020-02-27,1934.38,1975.0,1882.76,1884.3,8143993
2020-02-28,1814.63,1889.76,1811.13,1883.75,9493797
2020-03-02,1906.49,1954.51,1870.0,1953.95,6761651
2020-03-03,1975.37,1996.33,1888.09,1908.99,7534491
2020-03-04,1946.57,1978.0,1922.0,1975.83,4772919
2020-03-05,1933.0,1960.72,1910.0,1924.03,4748210
2020-03-06,1875.0,1910.87,1869.5,1901.09,5273580
2020-03-09,1773.86,1862.77,1761.29,1800.61,7813232
2020-03-10,1870.88,1894.27,1818.17,1891.82,7133310
2020-03-11,1857.85,1871.32,1801.5,1820.86,5646831
2020-03-12,1721.98,1765.0,1675.0,1676.61,11346214
2020-03-13,1755.0,1786.31,1680.62,1785.0,8809725
2020-03-16,1641.51,1759.45,1626.03,1689.15,8917265
2020-03-17,1775.47,1857.78,1689.24,1807.84,10917129
2020-03-18,1750.0,1841.66,1745.0,1830.0,9596297
2020-03-19,1860.0,1945.0,1832.65,1880.93,10399943
2020-03-20,1926.31,1957.0,1820.73,1846.09,9817850
2020-03-23,1827.75,1919.4,1812.0,1902.83,7808489
2020-03-24,1951.5,1955.0,1900.34,1940.1,7147080
2020-03-25,1920.69,1950.26,1885.78,1885.84,6479073
2020-03-26,1902.0,1956.49,1889.29,1955.49,6235118
2020-03-27,1930.86,1939.79,1899.92,1900.1,5387897
2020-03-30,1922.83,1973.63,1912.34,1963.95,6126087
2020-03-31,1964.35,1993.02,1944.01,1949.72,5123626
2020-04-01,1932.97,1944.96,1893.0,1907.7,4121875
2020-04-02,1901.64,1927.53,1890.0,1918.83,4335985
2020-04-03,1911.15,1926.33,1889.15,1906.59,3609870
2020-04-06,1936.0,1998.52,1930.02,1997.59,5773181
2020-04-07,2017.11,2035.72,1997.62,2011.6,5113983
2020-04-08,2021.0,2044.0,2011.15,2043.0,3977313
2020-04-09,2044.3,2053.0,2017.66,2042.76,4655617
2020-04-13,2040.0,2180.0,2038.0,2168.87,6716709
2020-04-14,2200.47,2292.0,2186.21,2283.32,8087193
2020-04-15,2257.68,2333.37,2245.0,2307.68,6866567
2020-04-16,2346.0,2461.0,2335.0,2408.19,12038201
2020-04-17,2372.33,2400.0,2316.02,2375.0,7930010
2020-04-20,2389.95,2444.98,2386.05,2393.61,5770694
2020-04-21,2416.61,2428.31,2279.66,2328.12,7476679
2020-04-22,2369.0,2394.0,2351.0,2363.49,4218295
2020-04-23,2399.98,2424.22,2382.08,2399.45,5066552
2020-04-24,2417.0,2420.43,2382.0,2410.22,3831797
2020-04-27,2443.2,2444.88,2363.0,2376.0,5645645
2020-04-28,2372.1,2373.5,2306.0,2314.08,5269446
2020-04-29,2330.01,2391.89,2310.0,2372.71,4591593
2020-04-30,2419.84,2475.0,2396.01,2474.0,9534611
2020-05-01,2336.8,2362.44,2258.19,2286.04,9772605
2020-05-04,2256.38,2326.98,2256.38,2315.99,4865926
2020-05-05,2340.0,2351.0,2307.13,2317.8,3242496
2020-05-06,2329.44,2357.45,2320.0,2351.26,3117814
2020-05-07,2374.78,2376.0,2343.11,2367.61,3396411
2020-05-08,2372.14,2387.24,2357.0,2379.61,3211228
2020-05-11,2374.7,2419.67,2372.11,2409.0,3259231
2020-05-12,2411.85,2419.0,2355.0,2356.95,3074916
2020-05-13,2366.8,2407.7,2337.8,2367.92,4782919
2020-05-14,2361.01,2391.37,2353.21,2388.85,3648128
2020-05-15,2368.52,2411.0,2356.37,2409.78,4234951
2020-05-18,2404.35,2433.0,2384.01,2426.26,4366572
2020-05-19,2429.83,2485.0,2428.97,2449.33,4320498
2020-05-20,2477.87,2500.01,2467.27,2497.94,3998143
2020-05-21,2500.0,2525.45,2442.54,2446.74,5114403
2020-05-22,2455.01,2469.85,2430.13,2436.88,2867079
2020-05-26,2458.0,2462.0,2414.06,2421.86,3568153
2020-05-27,2404.99,2413.58,2330.0,2410.39,5056945
2020-05-28,2384.33,2436.97,2378.23,2401.1,3193136
2020-05-29,2415.94,2442.37,2398.2,2442.37,3529329
2020-06-01,2448.0,2476.93,2444.17,2471.04,2938032
2020-06-02,2467.0,2473.53,2445.31,2472.41,2529903
2020-06-03,2468.01,2488.0,2461.17,2478.4,2671024
2020-06-04,2477.43,2507.54,2450.01,2460.6,2948710
2020-06-05,2444.51,2488.65,2437.13,2483.0,3306445
2020-06-08,2500.2,2530.0,2487.34,2524.06,3970654
2020-06-09,2529.44,2626.43,2525.0,2600.86,5175950
2020-06-10,2645.0,2722.35,2626.26,2647.45,4946031
2020-06-11,2603.5,2671.38,2536.23,2557.96,5800107
2020-06-12,2601.21,2621.48,2503.35,2545.02,5436127
2020-06-15,2526.6,2584.0,2508.0,2572.68,3873335
2020-06-16,2620.0,2620.0,2576.0,2615.27,3595649
2020-06-17,2647.5,2655.0,2631.82,2640.98,2959316
2020-06-18,2647.01,2659.64,2636.11,2653.98,2487774
2020-06-19,2678.08,2697.43,2659.0,2675.01,5776963
2020-06-22,2684.5,2715.0,2669.0,2713.82,3208780
2020-06-23,2726.02,2783.11,2718.04,2764.41,4231707
2020-06-24,2780.0,2796.0,2721.0,2734.4,4526605
2020-06-25,2739.55,2756.23,2712.14,2754.58,2968657
2020-06-26,2775.06,2782.57,2688.0,2692.87,6500784
2020-06-29,2690.01,2696.8,2630.08,2680.38,4223422
2020-06-30,2685.07,2769.63,2675.03,2758.82,3769686
2020-07-01,2757.99,2895.0,2754.0,2878.7,6364355
2020-07-02,2912.01,2955.56,2871.1,2890.3,6593735
2020-07-06,2934.97,3059.88,2930.0,3057.04,6880340
2020-07-07,3058.55,3069.55,2990.0,3000.12,5257688
2020-07-08,3022.61,3083.97,3012.43,3081.11,5037856
2020-07-09,3115.99,3193.88,3074.0,3182.63,6388971
2020-07-10,3191.76,3215.0,3135.7,3200.0,5486005
2020-07-13,3251.06,3344.29,3068.39,3104.0,7722519
2020-07-14,3089.0,3127.38,2950.0,3084.0,7231956
2020-07-15,3080.23,3098.35,2973.18,3008.87,5789358
2020-07-16,2971.06,3032.0,2918.23,2999.9,6394284
2020-07-17,3009.0,3024.0,2948.45,2961.97,4716329
2020-07-20,3000.2,3201.36,2994.02,3196.84,7488703
2020-07-21,3232.49,3240.58,3105.72,3138.29,6075758
2020-07-22,3125.0,3149.9999,3065.26,3099.91,4104225
2020-07-23,3098.2713,3098.2713,2970.0,2986.55,5656906
2020-07-24,2930.0,3031.58,2888.0,3008.91,5632413
2020-07-27,3062.0,3098.0,3015.77,3055.21,4170492
2020-07-28,3054.27,3077.0926,2995.76,3000.33,3126651
2020-07-29,3030.99,3039.1592,2996.77,3033.53,2974060
2020-07-30,3014.0,3092.0,3005.0,3051.88,6128265
2020-07-31,3244.0,3246.82,3151.0,3164.68,8083369
2020-08-03,3180.51,3184.0,3104.0,3111.89,5074663
2020-08-04,3101.21,3167.24,3101.21,3138.83,4694294
2020-08-05,3143.77,3213.5859,3127.3,3205.03,3930025
2020-08-06,3194.36,3247.47,3165.43,3225.0,3940602
2020-08-07,3224.01,3240.81,3140.6726,3167.46,3936127
2020-08-10,3170.31,3172.51,3101.52,3148.16,3167274
2020-08-11,3113.2,3159.22,3073.0,3080.67,3718057
2020-08-12,3108.0,3174.385,3101.42,3162.24,3527229
2020-08-13,3182.99,3217.5211,3155.0,3161.02,3149043
2020-08-14,3178.18,3178.2357,3120.0,3148.02,2751723
2020-08-17,3173.12,3194.97,3154.1775,3182.41,2675890
2020-08-18,3212.0,3320.0,3205.8187,3312.49,5345974
2020-08-19,3303.01,3315.9,3256.0001,3260.48,4185137
2020-08-20,3252.0,3312.62,3238.0,3297.37,3332478
2020-08-21,3295.0,3314.3962,3275.39,3284.72,3575862
2020-08-24,3310.15,3380.315,3257.5608,3307.46,4666258
2020-08-25,3294.99,3357.4,3267.0,3346.49,3992842
2020-08-26,3351.11,3451.7387,3344.5675,3441.85,6508743
2020-08-27,3450.05,3453.0,3378.0,3400.0,4264795
2020-08-28,3423.0,3433.3699,3386.5,3401.8,2896978
2020-08-31,3408.99,3495.0,3405.0,3450.96,4185885
2020-09-01,3489.58,3513.87,3467.0,3499.12,3476407
2020-09-02,3547.0,3552.25,3486.685,3531.45,3931476
2020-09-03,3485.0,3488.41,3303.0,3368.0,8161113
2020-09-04,3318.0,3381.5,3111.13,3294.62,8781754
2020-09-08,3144.0,3250.845,3130.0,3149.84,6094205
2020-09-09,3202.99,3303.175,3185.0,3268.61,5188675
2020-09-10,3307.2188,3349.89,3170.55,3175.11,5330741
2020-09-11,3208.69,3217.3409,3083.98,3116.22,5093982
2020-09-14,3172.9372,3187.39,3096.0,3102.97,4529596
2020-09-15,3136.16,3175.02,3108.92,3156.13,4021535
2020-09-16,3179.99,3187.238,3074.15,3078.1,4531189
2020-09-17,3009.25,3029.432,2972.55,3008.73,6449050
2020-09-18,3031.74,3037.8,2905.54,2954.91,8892580
2020-09-21,2906.5,2962.0,2871.0,2960.47,6117925
2020-09-22,3033.835,3133.99,3000.2,3128.99,6948816
2020-09-23,3120.43,3126.999,2992.3759,2999.86,5652665
2020-09-24,2977.79,3069.3,2965.0,3019.79,5529392
2020-09-25,3054.86,3101.54,2999.0,3095.13,4615202
2020-09-28,3148.85,3175.04,3117.1684,3174.05,4224165
2020-09-29,3175.39,3188.26,3132.54,3144.88,3503398
2020-09-30,3141.14,3212.88,3133.99,3148.73,4896101
2020-10-01,3208.0,3224.0,3172.0,3221.26,4971922
2020-10-02,3153.63,3195.7965,3123.0,3125.0,5613098
2020-10-05,3145.84,3202.53,3140.85,3199.2,3775332
2020-10-06,3165.0,3182.0,3090.0,3099.96,5086857
2020-10-07,3135.0,3200.0,3132.385,3195.69,4309439
2020-10-08,3224.99,3233.2944,3174.99,3190.55,3174114
2020-10-09,3210.0,3288.99,3197.83,3286.65,4907871
2020-10-12,3349.94,3496.24,3339.55,3442.93,8364198
2020-10-13,3467.99,3492.38,3424.217,3443.63,5744697
2020-10-14,3447.0,3464.88,3340.0,3363.71,5828916
2020-10-15,3292.01,3355.88,3280.0,3338.65,5223448
2020-10-16,3363.23,3399.6606,3160.0,3272.71,6474353
2020-10-19,3299.61,3329.0,3192.735,3207.21,5223626
2020-10-20,3222.28,3266.0,3192.01,3217.01,4509678
2020-10-21,3212.5,3233.875,3160.0,3184.94,4592736
