,open,high,low,close,volume
2020-01-02,152.02,153.15,151.17,152.34,995736
2020-01-03,155.0,156.42,152.89,153.35,1782052
2020-01-06,154.91,159.01,153.02,158.11,2125906
2020-01-07,157.55,157.8,155.65,156.95,1345808
2020-01-08,157.96,158.89,150.7,152.08,2125393
2020-01-09,152.09,152.85,149.55,152.23,1516175
2020-01-10,151.63,151.73,148.85,149.4,1976051
2020-01-13,149.29,149.55,146.47,146.78,2104791
2020-01-14,146.69,148.11,145.07,146.78,1583193
2020-01-15,146.04,146.47,144.05,145.4,1249026
2020-01-16,146.39,149.31,146.07,146.99,1419294
2020-01-17,147.83,148.88,146.88,148.79,1812774
2020-01-21,147.91,149.54,146.64,147.35,1273269
2020-01-22,146.75,146.83,144.09,144.63,1519090
2020-01-23,143.09,143.3,140.08,140.43,1974771
2020-01-24,140.1,142.26,139.11,142.03,1266261
2020-01-27,138.37,138.87,134.97,135.39,1652105
2020-01-28,137.17,141.83,136.4,140.97,2173374
2020-01-29,141.78,142.6,138.84,138.92,1077176
2020-01-30,136.9,139.475,134.7,137.53,1663137
2020-01-31,135.03,135.84,133.5,135.0,1601157
2020-02-03,135.26,136.09,132.29,132.57,1335305
2020-02-04,135.85,138.99,134.96,135.9,2073400
2020-02-05,138.95,142.97,138.59,142.19,1402693
2020-02-06,142.82,142.82,139.94,140.44,918319
2020-02-07,138.75,139.31,136.62,137.82,1041651
2020-02-10,136.76,137.19,135.48,136.75,1193561
2020-02-11,139.38,139.39,135.84,136.13,1654025
2020-02-12,138.72,139.86,136.87,137.61,1170676
2020-02-13,136.52,140.58,136.12,140.04,1399016
2020-02-14,140.6,141.01,137.57,139.23,936493
2020-02-18,137.0,137.95,133.79,135.56,1719283
2020-02-19,136.24,142.01,135.92,141.17,2389519
2020-02-20,144.0,147.24,139.82,142.53,2394358
2020-02-21,141.09,142.89,139.49,142.25,1403439
2020-02-24,135.69,137.33,133.88,135.97,1549654
2020-02-25,136.78,137.2,129.15,130.09,1835766
2020-02-26,130.79,131.8,125.35,125.49,2009831
2020-02-27,120.73,127.57,117.3,122.67,2747471
2020-02-28,117.7,122.89,117.65,122.78,3469294
2020-03-02,124.46,125.13,119.27,124.32,3385271
2020-03-03,124.97,124.97,118.15,120.03,2113611
2020-03-04,122.07,124.54,120.24,123.5,1788140
2020-03-05,119.02,122.26,116.87,118.61,1906191
2020-03-06,113.41,114.44,101.9,105.12,5180352
2020-03-09,72.86,74.96,64.53,66.31,7674149
2020-03-10,70.76,80.19,67.59,79.86,6753102
2020-03-11,76.18,77.47,67.24,70.24,4409095
2020-03-12,63.92,66.46,58.81,60.68,4693590
2020-03-13,66.2,70.71,60.92,70.68,4543086
2020-03-16,59.48,68.79,57.24,59.72,3588735
2020-03-17,59.82,61.96,54.5,57.53,4181158
2020-03-18,52.01,57.99,48.62,56.77,4270597
2020-03-19,56.92,63.5,55.1,60.37,4247207
2020-03-20,62.81,68.56,59.29,61.76,4374400
2020-03-23,61.69,62.97,57.2,61.29,3061878
2020-03-24,66.79,73.58,63.29,72.62,3901092
2020-03-25,72.13,75.41,67.38,72.31,2979912
2020-03-26,72.44,74.75,71.39,74.34,2893822
2020-03-27,70.53,72.93,67.76,68.65,2939618
2020-03-30,65.79,67.35,62.19,66.49,3131337
2020-03-31,69.1,72.83,67.56,70.15,2657465
2020-04-01,66.9,68.97,62.54,67.77,2571715
2020-04-02,71.19,81.48,70.41,75.15,4906640
2020-04-03,79.0,80.0,72.84,74.68,4925441
2020-04-06,76.1,76.8,72.9,76.24,2280368
2020-04-07,81.29,84.26,74.79,75.31,2988282
2020-04-08,77.48,81.61,74.84,80.29,3283816
2020-04-09,83.0,84.12,72.58,75.48,4751415
2020-04-13,79.03,79.6,75.4,78.55,2213200
2020-04-14,77.05,80.0,76.49,77.37,2164367
2020-04-15,72.53,76.48,71.53,74.92,2066818
2020-04-16,73.88,73.94,69.99,71.11,3086274
2020-04-17,72.75,77.32,72.08,76.63,2814306
2020-04-20,71.38,75.36,69.77,71.28,3763608
2020-04-21,68.02,74.28,67.0,73.47,3700643
2020-04-22,77.59,80.74,77.08,80.66,3360397
2020-04-23,83.33,84.8,78.64,79.31,3135097
2020-04-24,80.67,80.67,74.68,77.45,2983378
2020-04-27,76.21,82.96,73.51,81.86,2611098
2020-04-28,83.76,85.4,81.26,82.76,1953637
2020-04-29,86.01,90.13,84.06,89.8,2496754
2020-04-30,91.22,91.43,85.96,89.31,2632024
2020-05-01,86.64,88.47,81.7,82.92,1921836
2020-05-04,81.2,83.15,80.56,83.06,3474634
2020-05-05,88.04,89.3,82.0,82.48,2040741
2020-05-06,82.95,84.44,80.9,81.83,1370862
2020-05-07,85.01,91.42,85.01,87.02,2296864
2020-05-08,89.02,91.5,87.3,89.99,2615791
2020-05-11,88.22,88.75,84.44,84.44,3805357
2020-05-12,84.5,86.56,83.5,84.03,5462444
2020-05-13,83.91,84.44,78.47,79.38,3467837
2020-05-14,77.57,84.0,76.48,82.21,2741543
2020-05-15,81.58,85.16,81.58,82.86,1899485
2020-05-18,88.16,94.23,87.52,93.38,3950847
2020-05-19,93.66,94.47,89.56,89.65,2438551
2020-05-20,91.47,92.86,90.9,92.43,2667392
2020-05-21,93.0,93.69,91.78,92.93,2505797
2020-05-22,91.85,92.97,91.08,92.42,1915845
2020-05-26,96.73,96.73,93.35,93.72,1910632
2020-05-27,95.43,95.65,91.26,94.19,2178866
2020-05-28,93.87,96.66,91.91,92.54,1940202
2020-05-29,91.64,92.47,89.84,91.6,1908451
2020-06-01,91.6,93.67,90.5,92.91,2201815
2020-06-02,94.6,96.35,93.36,96.16,2166770
2020-06-03,98.89,100.97,96.61,100.77,2487589
2020-06-04,99.95,104.09,98.29,103.55,3059196
2020-06-05,109.92,111.47,106.8,110.89,3129066
2020-06-08,116.22,116.81,111.27,116.78,3166508
2020-06-09,109.89,110.37,104.94,108.53,3090922
2020-06-10,106.51,106.8,102.72,102.73,4054036
2020-06-11,95.0,101.52,93.51,96.64,4640185
2020-06-12,101.8,102.66,95.07,98.23,2260324
2020-06-15,93.86,96.76,91.38,95.55,4235448
2020-06-16,100.52,100.58,95.66,97.06,4520275
2020-06-17,97.0,97.07,94.0,94.24,2440721
2020-06-18,93.19,95.0,92.78,94.54,2959935
2020-06-19,96.78,97.35,92.92,93.58,3472090
2020-06-22,92.81,96.07,92.08,95.1,2217741
2020-06-23,96.4,98.95,95.26,96.76,2545323
2020-06-24,94.95,95.87,91.72,92.16,2057834
2020-06-25,91.41,97.79,91.02,97.7,1988748
2020-06-26,96.54,97.17,93.54,94.11,3084003
2020-06-29,94.21,95.32,93.39,94.44,1359698
2020-06-30,93.32,98.13,93.27,97.7,1712249
2020-07-01,98.0,99.28,94.33,95.5,1696078
2020-07-02,98.0,98.86,96.22,96.8,1222377
2020-07-06,98.79,100.39,97.72,98.72,1381289
2020-07-07,97.4,98.64,95.91,96.07,1373272
2020-07-08,96.65,97.82,95.07,96.59,1695329
2020-07-09,96.18,97.12,91.4,91.48,1353979
2020-07-10,91.08,92.72,90.4,92.44,2152149
2020-07-13,93.34,93.54,90.2,91.0,1544789
2020-07-14,90.27,95.98,90.02,95.66,1800974
2020-07-15,96.95,98.21,95.63,96.59,1834218
2020-07-16,96.15,98.12,94.77,96.82,969075
2020-07-17,97.33,98.59,96.41,96.52,1088974
2020-07-20,96.41,99.12,95.45,96.91,1439212
2020-07-21,98.71,103.36,98.71,102.72,2062891
2020-07-22,100.92,103.02,99.235,102.51,1581375
2020-07-23,101.48,102.06,99.83,100.66,1198066
2020-07-24,101.11,102.42,99.11,99.68,855872
2020-07-27,99.68,100.02,97.77,98.52,940518
2020-07-28,97.63,98.68,96.19,96.55,846541
2020-07-29,96.79,98.55,96.08,98.54,1130580
2020-07-30,96.03,97.07,93.93,95.85,1052595
2020-07-31,94.84,97.04,94.5,96.92,1223747
2020-08-03,97.9,99.3,96.16,97.84,1208339
2020-08-04,97.59,100.38,97.21,99.52,1614689
2020-08-05,101.65,103.99,99.6,102.65,2172633
2020-08-06,101.89,103.8726,101.6816,102.36,1322261
2020-08-07,101.25,104.62,99.31,104.28,1554990
2020-08-10,104.93,109.44,104.5445,108.99,1907262
2020-08-11,111.01,111.95,106.21,106.56,1603860
2020-08-12,109.22,111.48,107.8,110.5,1463838
2020-08-13,109.77,111.71,109.51,109.94,1719132
2020-08-14,108.95,110.9,108.605,110.73,1032920
2020-08-17,111.0,111.18,107.48,108.61,1258220
2020-08-18,108.26,109.225,107.14,107.7,1334018
2020-08-19,107.24,107.9,104.32,104.77,1386727
2020-08-20,103.13,104.67,102.62,102.67,1082452
2020-08-21,102.58,103.7,101.98,102.11,1360277
2020-08-24,102.84,105.9508,102.53,104.75,1492080
2020-08-25,106.25,107.2816,105.09,106.92,1164649
2020-08-26,106.0,106.9,104.29,104.41,1045560
2020-08-27,105.01,105.84,104.1,105.38,811039
2020-08-28,106.0,106.0,103.96,105.6,792256
2020-08-31,105.6,105.81,103.17,103.93,1439452
2020-09-01,103.42,103.87,102.09,102.98,1281047
2020-09-02,102.79,102.79,100.6043,100.92,1299552
2020-09-03,100.31,101.58,97.87,98.38,1544615
2020-09-04,99.36,100.65,97.455,99.1,917024
2020-09-08,97.43,97.43,93.45,94.36,1664533
2020-09-09,95.73,97.73,95.2,96.6,1146677
2020-09-10,96.57,96.57,91.06,91.45,1630839
2020-09-11,92.23,92.94,91.2,92.07,1810508
2020-09-14,92.54,94.66,91.25,93.35,1655440
2020-09-15,93.87,95.7,93.535,94.63,1287084
2020-09-16,95.35,99.315,95.08,97.55,2134602
2020-09-17,95.78,97.81,94.81,97.08,1796245
2020-09-18,96.3,97.7,94.83,95.78,2393287
2020-09-21,93.25,93.81,90.45,91.92,1804660
2020-09-22,91.92,93.68,91.28,92.52,1578473
2020-09-23,92.25,92.96,86.82,86.9,1444676
2020-09-24,86.47,88.18,85.08,86.56,1653107
2020-09-25,85.57,86.5,84.54,85.9,1219023
