,open,high,low,close,volume
2020-01-02,839.97,859.19,837.53,858.19,487133
2020-01-03,853.24,870.94,853.24,865.13,422717
2020-01-06,862.0,862.8,854.0,858.02,405245
2020-01-07,863.0,863.0,854.39,860.08,243622
2020-01-08,856.15,867.0,856.15,856.73,262543
2020-01-09,866.86,877.0,859.47,862.67,457278
2020-01-10,866.0,866.57,853.09,857.77,301894
2020-01-13,856.13,869.77,851.41,863.0,304580
2020-01-14,861.85,863.62,853.72,859.22,239266
2020-01-15,860.06,869.46,858.9,865.09,278017
2020-01-16,868.78,870.83,865.98,870.24,240343
2020-01-17,874.65,879.0,867.07,878.15,361158
2020-01-21,878.7,887.6,869.11,870.73,298818
2020-01-22,877.95,882.97,873.2,879.18,259544
2020-01-23,873.89,884.0,873.2,879.84,242061
2020-01-24,885.0,885.0,861.58,869.71,322887
2020-01-27,861.5,868.0,855.81,865.03,259177
2020-01-28,867.22,882.22,867.22,877.82,350635
2020-01-29,878.33,884.25,875.51,879.3,182625
2020-01-30,878.49,888.581,873.56,879.95,251106
2020-01-31,879.51,885.04,865.0,866.76,384971
2020-02-03,868.0,880.0,866.68,867.33,457275
2020-02-04,876.01,890.17,873.64,884.82,976402
2020-02-05,892.0,893.02,851.36,854.01,1032656
2020-02-06,858.18,863.53,846.92,857.0,689515
2020-02-07,858.46,865.88,850.0,864.22,571975
2020-02-10,861.31,891.44,859.6,890.51,511078
2020-02-11,893.0,899.0,890.12,890.75,334043
2020-02-12,890.64,901.49,887.29,900.37,395732
2020-02-13,898.3,914.98,898.01,912.95,422208
2020-02-14,912.94,923.5,908.58,921.94,366137
2020-02-18,924.09,934.0,922.32,927.56,369065
2020-02-19,934.02,938.88,931.09,933.84,318155
2020-02-20,926.05,940.28,916.75,927.59,362334
2020-02-21,926.35,929.76,915.86,920.14,302165
2020-02-24,897.42,900.05,883.93,885.0,661946
2020-02-25,890.0,891.91,851.44,856.01,734940
2020-02-26,855.38,868.79,842.52,847.29,570859
2020-02-27,811.39,815.73,750.73,755.55,1348956
2020-02-28,734.5,774.84,702.95,773.58,1504726
2020-03-02,779.52,781.57,739.9,768.81,869006
2020-03-03,768.02,781.78,723.26,736.07,779125
2020-03-04,764.43,772.74,740.69,769.76,772600
2020-03-05,750.01,755.5,713.75,727.55,843738
2020-03-06,703.21,729.6,685.3,723.08,840767
2020-03-09,667.0,689.98,650.93,657.86,1025368
2020-03-10,689.0,704.99,661.65,701.21,909040
2020-03-11,681.0,691.0,626.19,646.39,994566
2020-03-12,587.02,613.86,565.01,603.0,2078668
2020-03-13,650.34,655.55,600.92,630.36,1087825
2020-03-16,570.0,580.1,520.0,571.51,1208843
2020-03-17,573.28,579.42,500.27,524.41,1510156
2020-03-18,492.01,500.0,415.0,465.21,1505888
2020-03-19,455.86,553.0,450.53,536.15,1413675
2020-03-20,573.87,596.99,552.23,566.0,1749699
2020-03-23,561.31,602.26,551.21,588.71,1283697
2020-03-24,639.0,690.36,630.12,664.05,1158839
2020-03-25,684.99,694.41,600.0,649.48,943035
2020-03-26,661.8,672.5,636.0,661.1,793906
2020-03-27,624.32,643.71,613.81,635.03,856800
2020-03-30,622.21,647.88,620.0,639.97,533082
2020-03-31,634.66,674.98,625.0,654.4,844051
2020-04-01,630.02,645.25,604.23,619.36,819390
2020-04-02,607.42,634.69,601.01,630.16,631585
2020-04-03,631.01,645.08,599.78,611.01,859814
2020-04-06,632.3,707.7,630.07,689.99,982545
2020-04-07,750.0,756.27,674.55,704.3,994854
2020-04-08,709.21,735.0,700.0,725.12,612594
2020-04-09,745.0,788.97,732.0,771.0,1025681
2020-04-13,768.77,771.0,728.0,744.08,681981
2020-04-14,772.25,794.12,765.0,785.33,836660
2020-04-15,757.72,778.0,752.24,770.1,570376
2020-04-16,773.0,790.0,758.6,786.75,555897
2020-04-17,810.75,824.35,803.06,820.27,657937
2020-04-20,807.2,822.0,804.04,808.73,586698
2020-04-21,799.0,809.24,772.01,786.69,966900
2020-04-22,848.99,905.0,834.18,882.26,2353386
2020-04-23,895.0,909.88,859.0,867.02,1319356
2020-04-24,873.43,887.93,860.95,882.47,530183
2020-04-27,891.0,900.0,880.79,883.07,517833
2020-04-28,899.0,899.0,864.03,868.36,515988
2020-04-29,880.22,894.23,863.1,882.34,514920
2020-04-30,880.0,897.97,877.0,878.55,448929
2020-05-01,858.77,883.49,856.89,874.92,434752
2020-05-04,862.33,876.03,856.5,875.0,281220
2020-05-05,881.92,886.69,865.63,870.23,318711
2020-05-06,875.34,883.82,867.0,867.04,289868
