,open,high,low,close,volume
2020-01-02,72.0,72.23,70.74,71.75,1456996
2020-01-03,70.64,70.84,69.59,70.66,1143441
2020-01-06,69.44,69.98,68.98,69.63,1085854
2020-01-07,69.34,69.55,68.52,69.17,1322650
2020-01-08,69.43,70.22,69.2,69.68,1099323
2020-01-09,70.1,70.28,69.4,69.83,1452257
2020-01-10,69.86,69.86,68.34,68.42,1596076
2020-01-13,68.64,68.84,67.97,68.75,1236011
2020-01-14,68.8,69.23,68.6,68.95,1037284
2020-01-15,68.1,68.15,66.75,66.98,1842771
2020-01-16,67.52,68.55,67.44,68.24,1861190
2020-01-17,68.69,69.09,68.11,68.72,2146028
2020-01-21,66.15,66.88,65.32,66.31,2653863
2020-01-22,66.69,67.4,66.23,66.4,1675435
2020-01-23,66.35,66.36,64.86,65.99,2008993
2020-01-24,65.92,65.92,63.97,64.73,1471658
2020-01-27,63.39,64.46,62.7,62.72,2465289
2020-01-28,63.36,63.91,62.9,63.15,1698784
2020-01-29,63.36,63.71,61.97,61.98,1788585
2020-01-30,61.34,62.53,61.33,62.48,2756193
2020-01-31,61.7,62.05,60.95,61.16,2211568
2020-02-03,61.58,62.79,61.58,62.0,1877987
2020-02-04,63.33,64.49,62.81,62.9,2160166
2020-02-05,64.0,65.29,63.905,64.44,2159810
2020-02-06,65.04,65.21,63.22,63.27,1518099
2020-02-07,62.59,62.84,61.72,62.06,1749074
2020-02-10,61.65,61.98,61.06,61.33,1510961
2020-02-11,61.57,63.13,61.55,62.23,1388397
2020-02-12,62.78,63.43,62.43,62.71,1419507
2020-02-13,62.44,63.07,62.2,62.97,1357756
2020-02-14,62.88,63.11,62.39,62.76,1403404
2020-02-18,62.25,62.77,61.21,61.96,1574848
2020-02-19,62.39,63.18,62.04,62.97,1373570
2020-02-20,62.8,63.99,62.73,63.43,1399164
2020-02-21,62.95,62.95,61.78,62.48,2118509
2020-02-24,60.83,60.83,59.32,59.78,1722420
2020-02-25,59.87,59.87,56.5,56.79,2780716
2020-02-26,57.24,57.48,55.54,55.74,1859381
2020-02-27,54.17,55.68,52.95,53.21,2377111
2020-02-28,51.5,53.1,50.89,52.64,3356870
2020-03-02,52.6,55.02,51.71,55.02,3255137
2020-03-03,54.58,55.11,50.45,51.0,4363438
2020-03-04,51.47,51.5,48.76,50.39,2840352
2020-03-05,48.33,48.56,46.08,46.72,3683792
2020-03-06,44.56,46.77,44.01,44.81,4890674
2020-03-09,41.06,41.09,35.1,35.99,5305677
2020-03-10,38.39,40.25,36.3,40.24,4692852
2020-03-11,38.85,39.58,37.5,38.03,3796709
2020-03-12,34.5,40.5,33.02,34.95,5658981
2020-03-13,38.32,38.69,34.03,38.67,5046177
2020-03-16,31.52,33.9,30.6,31.45,4202505
2020-03-17,32.17,34.72,30.0,34.4,4497522
2020-03-18,31.45,32.43,26.26,27.42,4408461
2020-03-19,26.73,30.0,24.28,28.95,4159602
2020-03-20,29.26,30.03,27.17,28.93,3936714
2020-03-23,28.5,29.32,27.05,27.34,2202768
2020-03-24,29.8,31.63,29.07,30.5,2765347
2020-03-25,31.0,34.34,29.13,33.07,3219886
2020-03-26,33.48,34.84,32.5,33.99,2588046
2020-03-27,32.54,33.82,31.39,32.87,2069435
2020-03-30,32.54,32.75,30.4,31.03,2093202
2020-03-31,30.58,31.58,29.13,29.34,2515377
2020-04-01,27.93,28.02,26.96,27.17,2814846
2020-04-02,26.86,29.33,26.69,27.79,3655791
2020-04-03,28.34,28.43,26.95,27.34,2977344
2020-04-06,29.43,30.37,28.13,28.99,4003199
2020-04-07,31.08,32.24,30.28,30.68,3564362
2020-04-08,30.78,33.32,30.72,33.02,3367865
2020-04-09,34.32,37.01,33.77,34.75,4557265
2020-04-13,34.75,34.75,32.25,32.78,2390323
2020-04-14,33.43,33.68,30.35,30.89,2705347
2020-04-15,28.99,29.63,27.98,28.12,3368560
2020-04-16,28.0,28.0,25.8,26.05,2958131
2020-04-17,27.53,30.22,27.31,30.0,4510417
2020-04-20,28.39,30.91,27.84,29.62,3612665
2020-04-21,28.0,30.94,27.85,29.43,4445956
2020-04-22,30.48,30.98,29.73,30.45,2447515
2020-04-23,31.0,32.13,30.77,31.6,2651926
2020-04-24,32.4,33.03,30.97,32.13,3952928
2020-04-27,32.39,34.96,32.05,34.51,3223279
2020-04-28,36.53,37.03,34.86,35.2,3096072
2020-04-29,36.92,37.9,36.1,37.48,3641504
2020-04-30,36.2,36.57,34.54,34.86,2553322
2020-05-01,33.44,33.96,32.67,32.83,2422748
2020-05-04,32.06,32.56,31.08,32.15,2111024
2020-05-05,33.19,34.01,31.53,31.57,1943602
2020-05-06,32.07,32.4,30.58,31.33,2301701
2020-05-07,31.92,33.95,31.92,32.37,2028577
2020-05-08,33.48,34.13,32.93,33.89,1794534
2020-05-11,33.45,33.5,31.68,32.18,1384211
2020-05-12,32.44,32.66,30.4,30.46,2712897
2020-05-13,30.19,30.24,28.51,29.23,2493667
2020-05-14,28.34,31.79,27.84,31.56,3121223
2020-05-15,30.65,31.43,29.89,30.04,2117153
2020-05-18,32.41,34.12,32.13,33.65,3499530
2020-05-19,33.15,33.66,32.06,32.14,1827650
2020-05-20,33.0,33.81,32.81,33.25,2019595
2020-05-21,33.06,33.6,32.54,33.02,2017154
2020-05-22,33.09,33.57,31.92,32.65,1340721
2020-05-26,34.78,37.33,34.68,36.69,2351582
2020-05-27,39.52,40.25,37.46,39.43,2984367
2020-05-28,39.95,39.95,37.2,37.58,2493469
2020-05-29,36.44,37.32,35.61,36.35,3023740
2020-06-01,36.78,38.3,36.39,37.58,1419265
2020-06-02,38.32,39.25,37.46,37.74,1460979
2020-06-03,39.28,40.84,38.78,40.04,2361744
2020-06-04,40.83,42.9,39.72,42.9,2570327
2020-06-05,47.19,49.0,45.09,45.52,2957036
2020-06-08,47.14,48.19,45.77,46.77,3163147
2020-06-09,45.34,46.43,44.56,45.71,1899618
2020-06-10,45.19,45.41,41.78,41.8,3005235
2020-06-11,38.22,39.81,37.5,37.7,2245526
2020-06-12,39.6,39.99,37.1,39.14,1848306
2020-06-15,36.8,40.51,36.67,40.18,2198753
2020-06-16,42.54,42.86,40.07,41.47,1689614
2020-06-17,41.42,41.61,39.9,39.95,1617233
2020-06-18,39.49,41.25,39.25,40.06,2511630
2020-06-19,41.12,41.12,38.62,39.44,6832866
2020-06-22,38.89,40.09,38.66,39.56,2006060
2020-06-23,40.57,40.92,39.53,39.83,1578281
2020-06-24,39.07,39.07,37.22,37.45,1743919
2020-06-25,37.11,38.87,36.83,38.68,2024658
2020-06-26,37.43,37.61,35.17,35.37,4276897
2020-06-29,36.08,37.33,35.5,37.01,1819390
2020-06-30,36.73,38.44,36.58,38.1,1487420
2020-07-01,37.49,38.11,35.9,35.94,1731355
2020-07-02,37.35,37.85,35.08,35.27,1889574
2020-07-06,36.53,37.18,35.36,35.81,2063935
2020-07-07,35.23,35.36,34.28,34.75,1673290
2020-07-08,34.65,35.43,33.97,34.76,1247887
2020-07-09,34.34,34.66,32.93,33.4,1493858
2020-07-10,33.75,35.79,33.6,35.77,1624463
2020-07-13,36.42,36.49,35.29,36.0,1618284
2020-07-14,35.97,35.97,34.54,34.93,1188628
2020-07-15,36.18,37.13,35.62,36.89,1316059
2020-07-16,36.31,37.78,35.83,36.76,834973
2020-07-17,36.63,36.83,35.43,35.54,1306878
2020-07-20,35.21,35.53,34.46,34.93,1570957
2020-07-21,35.92,37.9,35.78,37.24,2946815
2020-07-22,36.59,37.57,36.06,36.66,1958519
2020-07-23,36.63,37.79,36.08,37.37,1898682
2020-07-24,37.63,38.1,37.12,37.42,1404005
2020-07-27,36.86,37.27,36.16,36.84,1824919
2020-07-28,36.61,37.25,36.3544,36.65,1233343
2020-07-29,36.48,38.88,36.12,38.82,2499554
2020-07-30,37.41,38.46,36.63,38.25,2412749
2020-07-31,38.01,38.61,36.74,38.52,4973214
2020-08-03,38.55,38.8,37.7,38.05,1620709
2020-08-04,37.93,38.3286,37.665,37.88,1369623
2020-08-05,38.49,38.67,37.85,38.37,1288716
2020-08-06,37.98,38.61,37.85,38.13,1310511
2020-08-07,37.73,40.11,37.31,40.02,1472591
2020-08-10,40.4,41.48,40.25,41.04,1219738
2020-08-11,42.37,43.56,41.88,42.15,1401859
2020-08-12,43.16,43.36,40.59,42.02,1755019
2020-08-13,41.16,41.73,40.84,41.24,1274707
2020-08-14,40.8,42.3725,40.6906,41.82,1083443
2020-08-17,41.25,41.47,40.41,40.76,1031531
2020-08-18,40.81,40.81,39.33,39.52,1448240
2020-08-19,39.64,40.27,39.11,39.68,1627371
2020-08-20,38.73,39.17,38.26,38.83,1598731
2020-08-21,38.76,39.275,38.24,38.37,1137740
2020-08-24,38.72,40.25,38.08,40.24,916003
2020-08-25,40.89,41.4,39.7698,40.41,925346
2020-08-26,40.1,40.12,39.22,39.27,1213770
2020-08-27,39.08,40.44,39.08,40.09,1381182
2020-08-28,40.63,40.63,39.885,40.19,996690
2020-08-31,40.19,40.205,39.4,39.53,1319926
2020-09-01,39.12,40.46,38.66,39.89,1252843
2020-09-02,39.56,40.43,39.25,40.18,1287698
2020-09-03,40.68,42.1,40.04,40.44,1478833
2020-09-04,41.66,42.47,40.36,41.47,1428336
2020-09-08,40.56,40.78,39.38,39.94,1692361
2020-09-09,40.21,40.29,39.463,39.7,1536212
2020-09-10,39.96,40.89,39.08,39.2,1755980
2020-09-11,39.2,39.82,38.93,39.62,1935393
2020-09-14,40.06,41.19,39.495,41.0,2001391
2020-09-15,40.93,40.99,39.97,40.59,1270018
2020-09-16,40.47,42.07,40.3,41.18,1492012
2020-09-17,40.36,40.995,40.1735,40.77,1518931
2020-09-18,40.51,41.33,40.23,40.65,2133223
2020-09-21,39.22,39.97,38.29,38.66,1667081
2020-09-22,38.56,38.79,36.68,37.15,2174036
2020-09-23,37.34,38.1,36.42,36.44,1236675
2020-09-24,36.71,37.42,35.76,36.48,997827
2020-09-25,36.09,37.4132,35.8219,37.3,1256582
2020-09-28,38.13,38.88,37.82,38.55,1267052
2020-09-29,38.26,38.29,36.85,37.73,909322
2020-09-30,38.07,38.86,37.83,38.25,1296001
2020-10-01,38.2,38.87,37.75,38.08,1238787
2020-10-02,37.28,39.495,37.12,39.33,1477947
2020-10-05,40.01,41.89,39.92,41.83,1640551
2020-10-06,42.95,43.475,41.07,41.3,2161532
2020-10-07,41.93,43.54,41.93,43.1,1427986
2020-10-08,43.75,43.82,42.65,43.1,1334336
